candidate_id,postprocess_stage,repairability_proxy,repairability_reason
complex_crossdocked_000026__cand_0001,raw_generated,invalid_unrepairable,ligand_only_invalid
complex_crossdocked_000026__cand_0001,standardized_generated,invalid_unrepairable,ligand_only_invalid
complex_crossdocked_000026__cand_0002,raw_generated,reject,near_miss_contact
complex_crossdocked_000026__cand_0002,standardized_generated,reject,near_miss_contact
complex_crossdocked_000026__cand_0003,raw_generated,reject,near_miss_contact
complex_crossdocked_000026__cand_0003,standardized_generated,reject,near_miss_contact
complex_crossdocked_000026__cand_0004,raw_generated,invalid_unrepairable,ligand_only_invalid
complex_crossdocked_000026__cand_0004,standardized_generated,invalid_unrepairable,ligand_only_invalid
complex_crossdocked_000026__cand_0005,raw_generated,reject,scaffold_clash
complex_crossdocked_000026__cand_0005,standardized_generated,reject,scaffold_clash
complex_crossdocked_000026__cand_0006,raw_generated,reject,valid_no_severe_clash
complex_crossdocked_000026__cand_0006,standardized_generated,reject,valid_no_severe_clash
complex_crossdocked_000026__cand_0007,raw_generated,reject,near_miss_contact
complex_crossdocked_000026__cand_0007,standardized_generated,reject,near_miss_contact
complex_crossdocked_000026__cand_0008,raw_generated,invalid_unrepairable,ligand_only_invalid
complex_crossdocked_000026__cand_0008,standardized_generated,invalid_unrepairable,ligand_only_invalid
complex_crossdocked_000026__cand_0009,raw_generated,reject,near_miss_contact
complex_crossdocked_000026__cand_0009,standardized_generated,reject,near_miss_contact
complex_crossdocked_000026__cand_0010,raw_generated,invalid_unrepairable,ligand_only_invalid
complex_crossdocked_000026__cand_0010,standardized_generated,invalid_unrepairable,ligand_only_invalid
complex_crossdocked_000026__cand_0011,raw_generated,reject,valid_no_severe_clash
complex_crossdocked_000026__cand_0011,standardized_generated,reject,valid_no_severe_clash
complex_crossdocked_000026__cand_0012,raw_generated,invalid_unrepairable,ligand_only_invalid
complex_crossdocked_000026__cand_0012,standardized_generated,invalid_unrepairable,ligand_only_invalid
complex_crossdocked_000026__cand_0013,raw_generated,reject,valid_no_severe_clash
complex_crossdocked_000026__cand_0013,standardized_generated,reject,valid_no_severe_clash
complex_crossdocked_000026__cand_0014,raw_generated,reject,near_miss_contact
complex_crossdocked_000026__cand_0014,standardized_generated,reject,near_miss_contact
complex_crossdocked_000026__cand_0015,raw_generated,reject,near_miss_contact
complex_crossdocked_000026__cand_0015,standardized_generated,reject,near_miss_contact
complex_crossdocked_000026__cand_0016,raw_generated,reject,near_miss_contact
complex_crossdocked_000026__cand_0016,standardized_generated,reject,near_miss_contact
complex_crossdocked_000026__cand_0017,raw_generated,invalid_unrepairable,ligand_only_invalid
complex_crossdocked_000026__cand_0017,standardized_generated,invalid_unrepairable,ligand_only_invalid
complex_crossdocked_000026__cand_0018,raw_generated,invalid_unrepairable,ligand_only_invalid
complex_crossdocked_000026__cand_0018,standardized_generated,invalid_unrepairable,ligand_only_invalid
complex_crossdocked_000026__cand_0019,raw_generated,global_repose_needed,global_pose_failure
complex_crossdocked_000026__cand_0019,standardized_generated,global_repose_needed,global_pose_failure
complex_crossdocked_000026__cand_0020,raw_generated,reject,near_miss_contact
complex_crossdocked_000026__cand_0020,standardized_generated,reject,near_miss_contact
complex_crossdocked_000027__cand_0001,raw_generated,reject,scaffold_clash
complex_crossdocked_000027__cand_0001,standardized_generated,reject,scaffold_clash
complex_crossdocked_000027__cand_0002,raw_generated,invalid_unrepairable,ligand_only_invalid
complex_crossdocked_000027__cand_0002,standardized_generated,invalid_unrepairable,ligand_only_invalid
complex_crossdocked_000027__cand_0003,raw_generated,reject,near_miss_contact
complex_crossdocked_000027__cand_0003,standardized_generated,reject,near_miss_contact
complex_crossdocked_000027__cand_0004,raw_generated,invalid_unrepairable,ligand_only_invalid
complex_crossdocked_000027__cand_0004,standardized_generated,invalid_unrepairable,ligand_only_invalid
complex_crossdocked_000027__cand_0005,raw_generated,reject,near_miss_contact
complex_crossdocked_000027__cand_0005,standardized_generated,reject,near_miss_contact
complex_crossdocked_000027__cand_0006,raw_generated,reject,valid_no_severe_clash
complex_crossdocked_000027__cand_0006,standardized_generated,reject,valid_no_severe_clash
complex_crossdocked_000027__cand_0007,raw_generated,invalid_unrepairable,ligand_only_invalid
complex_crossdocked_000027__cand_0007,standardized_generated,invalid_unrepairable,ligand_only_invalid
complex_crossdocked_000027__cand_0008,raw_generated,reject,near_miss_contact
complex_crossdocked_000027__cand_0008,standardized_generated,reject,near_miss_contact
complex_crossdocked_000027__cand_0009,raw_generated,reject,valid_no_severe_clash
complex_crossdocked_000027__cand_0009,standardized_generated,reject,valid_no_severe_clash
complex_crossdocked_000027__cand_0010,raw_generated,reject,valid_no_severe_clash
complex_crossdocked_000027__cand_0010,standardized_generated,reject,valid_no_severe_clash
complex_crossdocked_000027__cand_0011,raw_generated,invalid_unrepairable,ligand_only_invalid
